ID,variable,rounds,n_times
1,n_restarts,r1,0
1,n_wrongs,r1,0
1,n_restarts,r2,0
1,n_wrongs,r2,0
1,n_restarts,r3,0
1,n_wrongs,r3,0
1,n_restarts,r4,0
1,n_wrongs,r4,0
1,n_restarts,r5,0
1,n_wrongs,r5,2
2,n_restarts,r1,0
2,n_wrongs,r1,0
2,n_restarts,r2,0
2,n_wrongs,r2,0
2,n_restarts,r3,0
2,n_wrongs,r3,0
2,n_restarts,r4,0
2,n_wrongs,r4,0
2,n_restarts,r5,0
2,n_wrongs,r5,0
2,n_restarts,r6,0
2,n_wrongs,r6,0
2,n_restarts,r7,0
2,n_wrongs,r7,0
2,n_restarts,r8,0
2,n_wrongs,r8,2
3,n_restarts,r1,0
3,n_wrongs,r1,0
3,n_restarts,r2,0
3,n_wrongs,r2,0
3,n_restarts,r3,0
3,n_wrongs,r3,0
3,n_restarts,r4,0
3,n_wrongs,r4,0
3,n_restarts,r5,0
3,n_wrongs,r5,0
3,n_restarts,r6,0
3,n_wrongs,r6,0
3,n_restarts,r7,0
3,n_wrongs,r7,2
4,n_restarts,r1,0
4,n_wrongs,r1,0
4,n_restarts,r2,0
4,n_wrongs,r2,0
4,n_restarts,r3,0
4,n_wrongs,r3,2
5,n_restarts,r1,0
5,n_wrongs,r1,1
6,n_restarts,r1,0
6,n_wrongs,r1,0
6,n_restarts,r2,0
6,n_wrongs,r2,0
6,n_restarts,r3,0
6,n_wrongs,r3,0
6,n_restarts,r4,0
6,n_wrongs,r4,0
6,n_restarts,r5,0
6,n_wrongs,r5,1
6,n_restarts,r6,1
6,n_wrongs,r6,1
6,n_restarts,r7,0
6,n_wrongs,r7,2
7,n_restarts,r1,0
7,n_wrongs,r1,0
7,n_restarts,r2,0
7,n_wrongs,r2,0
7,n_restarts,r3,0
7,n_wrongs,r3,1
7,n_restarts,r4,0
7,n_wrongs,r4,0
7,n_restarts,r5,0
7,n_wrongs,r5,1
7,n_restarts,r6,1
7,n_wrongs,r6,2
8,n_restarts,r1,0
8,n_wrongs,r1,0
8,n_restarts,r2,0
8,n_wrongs,r2,0
8,n_restarts,r3,0
8,n_wrongs,r3,0
8,n_restarts,r4,0
8,n_wrongs,r4,0
8,n_restarts,r5,0
8,n_wrongs,r5,0
8,n_restarts,r6,0
8,n_wrongs,r6,0
8,n_restarts,r7,0
8,n_wrongs,r7,2
